LocalityHint,TableSize,InputSize,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput,TimeElapsedMicroSeconds
0.0,125000.0,90.0,1905053.0,1205795.6666666667,1402227386,411903377,0.0,291151.6666666667,2502.6666666666665,4059.6666666666665,0.0,192272915.66666666,151901.0,1032214.0,112.79666666666667, Time WITHOUT software prefetching: 16 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,16.0
0.0,125000.0,180.0,1868801.0,1193138.6666666667,1363117061,406391913,0.0,293140.6666666667,2337.0,3151.6666666666665,0.0,197303921.33333334,109362.66666666667,1012924.0,102.11333333333333, Time WITHOUT software prefetching: 24 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,24.0
0.0,125000.0,360.0,1805174.3333333333,1143838.3333333333,1317674991,405866771,0.0,297083.6666666667,2590.3333333333335,4215.333333333333,0.0,202219706.33333334,101492.0,1013327.0,101.19, Time WITHOUT software prefetching: 36 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,36.0
0.0,125000.0,720.0,1838871.3333333333,1172730.0,1335438892,414681893,0.0,300473.3333333333,3009.3333333333335,10097.666666666666,0.0,202383860.33333334,122884.66666666667,1033562.6666666666,103.40999999999998, Time WITHOUT software prefetching: 56 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,56.0
0.0,125000.0,1024.0,1833199.3333333333,1162073.0,1331247276,410661099,0.0,306642.0,3429.3333333333335,12718.0,0.0,202665658.0,99023.66666666667,1034778.3333333334,103.42333333333333, Time WITHOUT software prefetching: 68 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,68.0
0.0,250000.0,90.0,3627706.6666666665,2234163.3333333335,2757020359,815298698,0.0,565105.0,2156.6666666666665,3581.0,0.0,382299196.3333333,233947.0,2004450.6666666667,201.98333333333332, Time WITHOUT software prefetching: 12 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,12.0
0.0,250000.0,180.0,3585767.6666666665,2210607.0,2745048046,812349786,0.0,564836.3333333334,2263.0,4086.3333333333335,0.0,389186818.3333333,219772.33333333334,2012229.6666666667,200.51, Time WITHOUT software prefetching: 19 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,19.0
0.0,250000.0,360.0,3593446.3333333335,2221042.6666666665,2750113126,807244632,0.0,561642.3333333334,2547.3333333333335,1283.0,0.0,395211102.0,207078.0,1967074.0,197.93666666666664, Time WITHOUT software prefetching: 32 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,32.0
0.0,250000.0,720.0,3612716.3333333335,2231087.3333333335,2756095145,811559412,0.0,567240.6666666666,3010.6666666666665,1340.3333333333333,0.0,394171545.3333333,202512.66666666666,1984035.3333333333,199.46333333333334, Time WITHOUT software prefetching: 56 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,56.0
0.0,250000.0,1024.0,3615277.0,2237176.0,2755834858,812578378,0.0,569588.6666666666,2977.6666666666665,5669.0,0.0,392758299.6666667,205128.66666666666,2007162.3333333333,198.74, Time WITHOUT software prefetching: 70 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,70.0
0.0,500000.0,90.0,6924599.666666667,4097067.0,5365127376,1594151039,0.0,1106616.6666666667,2209.3333333333335,2601.3333333333335,0.0,798683489.3333334,417524.0,3972006.6666666665,397.26666666666665, Time WITHOUT software prefetching: 13 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,13.0
0.0,500000.0,180.0,6866155.333333333,4104698.0,5375443774,1592002937,0.0,1118372.3333333333,2099.6666666666665,340.6666666666667,0.0,793292560.3333334,357179.6666666667,3925815.6666666665,395.8033333333333, Time WITHOUT software prefetching: 20 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,20.0
0.0,500000.0,360.0,6887514.333333333,4131080.3333333335,5386425349,1586902763,0.0,1124852.0,2123.0,866.6666666666666,0.0,785461042.0,370683.6666666667,3895648.3333333335,391.06333333333333, Time WITHOUT software prefetching: 31 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,31.0
0.0,500000.0,720.0,6911115.333333333,4099897.6666666665,5362221853,1595368904,0.0,1116317.6666666667,3056.6666666666665,5265.0,0.0,798543048.0,367561.3333333333,3971025.6666666665,396.2633333333333, Time WITHOUT software prefetching: 55 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,55.0
0.0,500000.0,1024.0,6890861.333333333,4111810.6666666665,5370832646,1592165818,0.0,1120332.6666666667,3526.6666666666665,2253.0,0.0,801700120.6666666,380351.6666666667,3950576.0,396.09999999999997, Time WITHOUT software prefetching: 71 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,71.0
0.0,1000000.0,90.0,13865460.0,8176034.0,10854314890,3171969991,0.0,2203636.3333333335,2133.6666666666665,2326.3333333333335,0.0,1564566188.3333333,816011.3333333334,7783714.0,792.6199999999999, Time WITHOUT software prefetching: 13 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,13.0
0.0,1000000.0,180.0,13882225.0,8173537.0,10854271969,3169804941,0.0,2195229.3333333335,2333.0,2668.3333333333335,0.0,1570544050.3333333,749071.0,7797494.666666667,785.23, Time WITHOUT software prefetching: 19 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,19.0
0.0,1000000.0,360.0,13929748.0,8167975.666666667,10836184387,3175009320,0.0,2196638.3333333335,2600.0,4010.0,0.0,1571390120.3333333,737946.6666666666,7805671.333333333,778.1066666666667, Time WITHOUT software prefetching: 30 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,30.0
0.0,1000000.0,720.0,13937751.666666666,8175675.0,10840635839,3161700717,0.0,2191972.0,3071.3333333333335,10984.333333333334,0.0,1578938067.0,851485.3333333334,7788038.333333333,770.5466666666666, Time WITHOUT software prefetching: 54 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,54.0
0.0,1000000.0,1024.0,13927664.666666666,8201892.333333333,10872066750,3176892036,0.0,2213306.3333333335,3619.0,5753.0,0.0,1570140773.3333333,775796.6666666666,7823375.666666667,786.2433333333333, Time WITHOUT software prefetching: 68 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,68.0
0.0,6000000.0,90.0,83320039.66666667,48223935.666666664,65122150348,19047021033,0.0,13118672.0,2267.3333333333335,3654.6666666666665,0.0,9403827220.333334,5551163.666666667,47090729.0,4770.816666666667, Time WITHOUT software prefetching: 13 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,13.0
0.0,6000000.0,180.0,83295574.66666667,48218807.333333336,65142893056,19054013949,0.0,13123577.333333334,2455.0,3676.0,0.0,9401213427.333334,5047013.666666667,46976233.333333336,4717.836666666666, Time WITHOUT software prefetching: 21 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,21.0
0.0,6000000.0,360.0,83338943.33333333,48280341.333333336,65190297633,18986789230,0.0,13103603.333333334,2419.0,7303.333333333333,0.0,9383397497.333334,5327675.666666667,46854989.666666664,4709.263333333333, Time WITHOUT software prefetching: 30 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,30.0
0.0,6000000.0,720.0,83423009.66666667,48266732.0,65155047720,19107562834,0.0,13082900.0,3158.6666666666665,2995.0,0.0,9409840677.333334,5174965.333333333,47165871.333333336,4722.246666666667, Time WITHOUT software prefetching: 56 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,56.0
0.0,6000000.0,1024.0,83411728.33333333,48244372.666666664,65108733172,19090924167,0.0,13118517.0,3591.6666666666665,9880.0,0.0,9409454434.0,5041152.666666667,47433992.666666664,4765.7733333333335, Time WITHOUT software prefetching: 77 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = infx Speedup (with simd) = infx Speedup (with software prefetching and simd) = infx ,77.0