Parameter,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,L1-dcache-store-misses,cache-misses,LLC-load-misses,ExecutableOutput
256,57306,2130087,87737894,37786461,0,<not,18315,2253,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 9 ms to execute  Normalized performance: 0.000000  "
300,210185,3402082,139018028,60984766,0,<not,42876,3656,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 11 ms to execute  Normalized performance: 0.000000  "
400,2758392,8042111,314101430,133475723,0,<not,75673,4725,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 26 ms to execute  Normalized performance: 0.000000  "
512,16853827,16829702,645097786,268876119,0,<not,113267,7762,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 56 ms to execute  Normalized performance: 0.000000  "
800,64476099,64344779,2400657706,1031508681,0,<not,1134726,79996,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 220 ms to execute  Normalized performance: 0.000000  "
1024,137928351,134813138,4988544985,2528319833,0,<not,10280572,1181107,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 545 ms to execute  Normalized performance: 0.000000  "
1200,255097853,217004753,7990232891,4921136397,0,<not,86463446,6537842,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 1087 ms to execute  Normalized performance: 0.000000  "
1500,558421105,423653471,15563516013,9679140041,0,<not,210500377,12665987,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 2151 ms to execute  Normalized performance: 0.000000  "
1800,1267987310,732415682,26722756454,16392175215,0,<not,549381283,23614369,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 3674 ms to execute  Normalized performance: 0.000000  "
2000,1737313450,1005416842,36590441284,20997721345,0,<not,693685692,28343412,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 4670 ms to execute  Normalized performance: 0.000000  "
2048,1867511794,1077990901,39273700432,21900336933,0,<not,781512938,40800776,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 4824 ms to execute  Normalized performance: 0.000000  "
2400,3009131835,1740925223,63057075098,34304051404,0,<not,1286760066,51311135,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 7538 ms to execute  Normalized performance: 0.000000  "
2700,4299017121,2494146557,89785909352,48868892688,0,<not,1854525510,67498248,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 10740 ms to execute  Normalized performance: 0.000000  "
3000,5909237982,3450626715,122825187908,66340648338,0,<not,2678731360,102455605,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 14583 ms to execute  Normalized performance: 0.000000  "
257,59362,2147463,89431144,38848065,0,<not,18078,2199,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 6 ms to execute  Normalized performance: 0.000000  "
301,92720,3431595,140563379,65556607,0,<not,28220,2277,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 11 ms to execute  Normalized performance: 0.000000  "
401,3373869,8083865,318232609,134046577,0,<not,78473,6180,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 26 ms to execute  Normalized performance: 0.000000  "
513,16504817,16888649,651819231,266543481,0,<not,112259,9428,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 52 ms to execute  Normalized performance: 0.000000  "
801,64672683,64513211,2416919837,981090286,0,<not,497674,56877,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 202 ms to execute  Normalized performance: 0.000000  "
1025,135443794,135159574,5015095020,2164950369,0,<not,3201897,374085,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 456 ms to execute  Normalized performance: 0.000000  "
1201,233225266,217380406,8026625940,4644391410,0,<not,52903197,4381669,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 1013 ms to execute  Normalized performance: 0.000000  "
1501,520676820,424314606,15600041639,8939032625,0,<not,180001503,12582467,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 1959 ms to execute  Normalized performance: 0.000000  "
1801,1262788954,733228177,26804346875,14588530543,0,<not,429225085,18200722,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 3201 ms to execute  Normalized performance: 0.000000  "
2001,1739025309,1005838698,36691096652,19854190796,0,<not,642821193,26167479,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 4345 ms to execute  Normalized performance: 0.000000  "
2049,1867532863,1079700999,39379229707,21319552726,0,<not,697481756,27986670,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 4665 ms to execute  Normalized performance: 0.000000  "
2401,3010788394,1742845620,63201861033,34143779683,0,<not,1245951110,45870818,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 7492 ms to execute  Normalized performance: 0.000000  "
2701,4297988919,2496747301,89903495093,48561178165,0,<not,1859465955,67986980,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 10653 ms to execute  Normalized performance: 0.000000  "
3001,5914923923,3519236407,123051170697,71522204974,0,<not,2843845067,102486869,"Normal matrix multiplication took 0 ms to execute   Array same : 1 Loop optimized matrix multiplication took 15984 ms to execute  Normalized performance: 0.000000  "
